"school_id","school_year","school_year_id","school_name","category","arts_approved","ratio_approved_csc","school_average_minutes","arts_course_enrollment","percent_access","budget_per_student","count_partnerships","final_score","longitude","latitude","community_area","laef","category_simple","visual_arts","music","theatre","dance"
2,"2023-24",13,"Catalyst-Maria Charter HS","high_school",1,557,NA,NA,NA,10.7719928186715,3,3,"-87.6925212","41.7709878","Chicago Lawn",FALSE,"High Schools",6,0,0,0
6,"2023-24",13,"Academy for Global Citizenship Elementary School","elementary_school",3,150,146.5,480,1,10,8,1,"-87.74017","41.8074","Garfield Ridge",FALSE,"Elementary Schools",4,4,1,0
8,"2023-24",13,"Alain Locke Charter Elementary Academy","elementary_school",2,185.5,160,333,0.897574123989218,53.9083557951482,5,1,"-87.70507","41.87707","East Garfield Park",FALSE,"Elementary Schools",1,1,0,0
10,"2023-24",13,"ASPIRA Charter - Early College","high_school",3,85.6666666666667,NA,NA,NA,19.4552529182879,2,2,"-87.72677","41.93746","Avondale",FALSE,"High Schools",2,0,0,0
12,"2023-24",13,"ASPIRA Charter - Haugan Campus","middle_school",1,82,250,99,1,18.2926829268293,0,2,"-87.72182","41.9662","Albany Park",FALSE,NA,5,0,0,0
16,"2023-24",13,"Catalyst Elementary School - Circle Rock","elementary_school",3,168,77.5,504,1,128.968253968254,6,3,"-87.76543","41.88252","Austin",TRUE,"Elementary Schools",2,2,0,0
17,"2023-24",13,"Chicago High School for the Arts","high_school",40.5,14.9135802469136,NA,NA,NA,5082.70033112583,4,1,"-87.69484","41.89947","West Town",FALSE,"High Schools",47,80,59,40
18,"2023-24",13,"Chicago Intl Charter - Avalon / South Shore","elementary_school",2,218,160,436,1,6.88073394495413,1,2,"-87.58766","41.74293","Avalon Park",FALSE,"Elementary Schools",0,1,0,0
19,"2023-24",13,"Chicago Intl Charter - Basil","elementary_school",2,244,225.409836065574,488,1,10.2459016393443,0,2,"-87.67005","41.79426","New City",FALSE,"Elementary Schools",1,1,0,0
20,"2023-24",13,"Chicago Intl Charter - Bucktown","elementary_school",5,108.6,99.4475138121547,543,1,18.4162062615101,0,2,"-87.68081","41.92254670000001","Logan Square",FALSE,"Elementary Schools",1,1,1,0
21,"2023-24",13,"Chicago Intl Charter - Loomis Primary","elementary_school",2,175.5,268.034188034188,351,1,2.84900284900285,0,3,"-87.65693","41.71997","Washington Heights",FALSE,"Elementary Schools",0,14,0,14
22,"2023-24",13,"Chicago Intl Charter - Irving Park","elementary_school",3,168.333333333333,94.3445544554455,505,1,9.9009900990099,3,1,"-87.71073","41.95074","Irving Park",FALSE,"Elementary Schools",26,13,0,0
23,"2023-24",13,"Chicago Intl Charter - Prairie","elementary_school",3,140,182.142857142857,420,1,4.76190476190476,2,2,"-87.61678","41.68446","West Pullman",FALSE,"Elementary Schools",1,1,0,0
24,"2023-24",13,"Chicago Intl Charter - Washington Park","elementary_school",2,241.5,260.869565217391,483,1,20.703933747412,0,3,"-87.62201","41.78378","Washington Park",FALSE,"Elementary Schools",0,10,0,0
25,"2023-24",13,"Chicago Intl Charter - West Belden","elementary_school",2,264,46.0227272727273,528,1,9.46969696969697,0,3,"-87.77649","41.92163","Belmont Cragin",FALSE,"Elementary Schools",9,0,0,0
26,"2023-24",13,"Chicago Intl Charter - Wrightwood","elementary_school",1,626,108.690095846645,626,1,3.99361022364217,0,3,"-87.69314","41.74522","Ashburn",FALSE,"Elementary Schools",0,0,0,27
27,"2023-24",13,"Chicago Intl Charter - Ralph Ellison","high_school",0,NA,NA,NA,NA,NA,1,5,"-87.66896","41.74814","Auburn Gresham",FALSE,"High Schools",NA,NA,NA,NA
28,"2023-24",13,"Chicago Intl Charter - Longwood","combination",0,2028.33333333333,300,600,0.493015612161052,0.821692686935086,0,4,"-87.6559","41.72038","Washington Heights",FALSE,NA,5,2,0,4
29,"2023-24",13,"Chicago Intl Charter - Northtown","high_school",4,209,NA,NA,NA,23.9234449760766,3,1,"-87.72757","41.99089","North Park",FALSE,"High Schools",3,1,0,0
30,"2023-24",13,"Chicago Math and Science Academy High School","high_school",1,560.909090909091,NA,NA,NA,16.2074554294976,2,3,"-87.67518","42.01352","Rogers Park",FALSE,"High Schools",7,0,0,0
33,"2023-24",13,"Erie Elementary Charter School","elementary_school",2,195.5,184.143222506394,391,1,5.1150895140665,0,2,"-87.69412","41.90695","West Town",FALSE,"Elementary Schools",9,0,0,0
38,"2023-24",13,"KIPP Ascend Charter School","elementary_school",4,236.25,365.035149384886,569,0.602116402116402,5.29100529100529,1,2,"-87.72184","41.85834","North Lawndale",TRUE,"Elementary Schools",0,3,1,2
40,"2023-24",13,"LEARN Charter ES - Romano Butler Campus","elementary_school",3,154.666666666667,45.8728448275862,464,1,5.38793103448276,5,2,"-87.711","41.86712","North Lawndale",FALSE,"Elementary Schools",0,15,0,3
